,record_date,MORTGAGE30US
0,04-1971,7.31
1,05-1971,7.425
2,06-1971,7.529999999999999
3,07-1971,7.604000000000001
4,08-1971,7.6975
5,09-1971,7.6875
6,10-1971,7.628
7,11-1971,7.55
8,12-1971,7.4799999999999995
9,01-1972,7.4375
10,02-1972,7.324999999999999
11,03-1972,7.298
12,04-1972,7.29
13,05-1972,7.3725000000000005
14,06-1972,7.372
15,07-1972,7.3950000000000005
16,08-1972,7.4
17,09-1972,7.42
18,10-1972,7.42
19,11-1972,7.4275
20,12-1972,7.442
21,01-1973,7.4375
22,02-1973,7.4399999999999995
23,03-1973,7.458
24,04-1973,7.5424999999999995
25,05-1973,7.6525
26,06-1973,7.734
27,07-1973,8.05
28,08-1973,8.496
29,09-1973,8.815
30,10-1973,8.77
31,11-1973,8.581999999999999
32,12-1973,8.5375
33,01-1974,8.54
34,02-1974,8.455
35,03-1974,8.406
36,04-1974,8.5825
37,05-1974,8.972
38,06-1974,9.085
39,07-1974,9.28
40,08-1974,9.586
41,09-1974,9.9575
42,10-1974,9.9775
43,11-1974,9.788
44,12-1974,9.615
45,01-1975,9.431999999999999
46,02-1975,9.105
47,03-1975,8.9025
48,04-1975,8.82
49,05-1975,8.906
50,06-1975,8.8925
51,07-1975,8.89
52,08-1975,8.942
53,09-1975,9.13
54,10-1975,9.224
55,11-1975,9.145
56,12-1975,9.0975
57,01-1976,9.016
58,02-1976,8.8125
59,03-1976,8.754999999999999
60,04-1976,8.73
61,05-1976,8.765
62,06-1976,8.8475
63,07-1976,8.934000000000001
64,08-1976,9.0
65,09-1976,8.977500000000001
66,10-1976,8.93
67,11-1976,8.8125
68,12-1976,8.792
69,01-1977,8.7225
70,02-1977,8.67
71,03-1977,8.6875
72,04-1977,8.751999999999999
73,05-1977,8.8275
74,06-1977,8.8575
75,07-1977,8.941999999999998
76,08-1977,8.94
77,09-1977,8.896
78,10-1977,8.9225
79,11-1977,8.9225
80,12-1977,8.959999999999999
81,01-1978,9.015
82,02-1978,9.145
83,03-1978,9.202000000000002
84,04-1978,9.355
85,05-1978,9.5725
86,06-1978,9.708
87,07-1978,9.74
