DATE,IPCONGD
1939-01-01,11.8201
1939-02-01,11.8201
1939-03-01,12.0139
1939-04-01,12.0139
1939-05-01,12.0526
1939-06-01,12.1689
1939-07-01,12.3239
1939-08-01,12.3627
1939-09-01,12.5564
1939-10-01,12.6727
1939-11-01,12.7890
1939-12-01,12.8277
1940-01-01,12.7890
1940-02-01,12.7502
1940-03-01,12.5952
1940-04-01,12.6727
1940-05-01,12.7502
1940-06-01,12.8665
1940-07-01,12.8277
1940-08-01,12.8277
1940-09-01,13.1765
1940-10-01,13.4090
1940-11-01,13.6803
1940-12-01,14.1066
1941-01-01,14.3779
1941-02-01,14.8042
1941-03-01,15.1917
1941-04-01,15.4630
1941-05-01,15.9281
1941-06-01,15.9668
1941-07-01,15.9668
1941-08-01,16.0056
1941-09-01,15.9281
1941-10-01,15.9281
1941-11-01,15.9668
1941-12-01,15.9668
1942-01-01,16.2769
1942-02-01,16.0831
1942-03-01,16.0831
1942-04-01,13.8741
1942-05-01,13.7191
1942-06-01,13.4865
1942-07-01,13.6803
1942-08-01,13.7966
1942-09-01,13.8353
1942-10-01,14.0679
1942-11-01,14.1454
1942-12-01,14.4554
1943-01-01,14.0291
1943-02-01,14.1454
1943-03-01,14.1841
1943-04-01,14.3391
1943-05-01,14.5717
1943-06-01,14.8042
1943-07-01,15.0367
1943-08-01,15.1142
1943-09-01,15.2305
1943-10-01,15.1142
1943-11-01,15.0755
1943-12-01,14.7654
1944-01-01,14.9205
1944-02-01,14.9980
1944-03-01,15.1917
1944-04-01,15.2692
1944-05-01,15.3855
1944-06-01,15.4630
1944-07-01,15.5405
1944-08-01,15.8893
1944-09-01,15.5405
1944-10-01,15.5793
1944-11-01,15.5405
1944-12-01,15.5405
1945-01-01,15.7730
1945-02-01,15.6568
1945-03-01,15.6180
1945-04-01,15.7343
1945-05-01,15.7730
1945-06-01,15.8893
1945-07-01,15.8506
1945-08-01,15.1530
1945-09-01,15.8893
1945-10-01,16.1218
1945-11-01,16.5869
1945-12-01,16.7807
1946-01-01,17.5170
1946-02-01,18.2146
1946-03-01,18.0983
1946-04-01,18.2921
1946-05-01,18.3696
1946-06-01,18.4083
1946-07-01,18.8347
1946-08-01,19.4547
1946-09-01,19.8422
1946-10-01,20.0748
1946-11-01,20.3461
1946-12-01,20.4623
1947-01-01,20.0360
1947-02-01,19.9585
1947-03-01,20.0360
1947-04-01,19.9585
1947-05-01,19.8035
1947-06-01,19.8423
1947-07-01,19.9198
1947-08-01,20.0748
1947-09-01,20.2686
1947-10-01,20.5786
1947-11-01,20.8886
1947-12-01,20.9274
1948-01-01,20.8111
1948-02-01,20.8886
1948-03-01,20.6561
1948-04-01,20.8111
1948-05-01,20.7336
1948-06-01,21.0824
1948-07-01,21.0436
1948-08-01,20.8499
1948-09-01,20.7336
1948-10-01,20.9661
1948-11-01,20.7336
1948-12-01,20.5011
1949-01-01,20.2685
1949-02-01,20.1910
1949-03-01,20.3461
1949-04-01,20.3073
1949-05-01,20.3073
1949-06-01,20.5398
1949-07-01,20.7336
1949-08-01,20.9274
1949-09-01,21.2374
1949-10-01,21.3149
1949-11-01,21.0049
1949-12-01,20.7724
1950-01-01,21.6250
1950-02-01,21.6637
1950-03-01,22.1288
1950-04-01,22.7488
1950-05-01,23.2526
1950-06-01,23.8727
1950-07-01,24.6090
1950-08-01,25.3841
1950-09-01,24.7641
1950-10-01,24.5703
1950-11-01,24.4540
1950-12-01,24.8416
1951-01-01,24.9966
1951-02-01,24.9579
1951-03-01,24.6091
1951-04-01,24.1440
1951-05-01,23.7177
1951-06-01,23.4077
1951-07-01,22.6326
1951-08-01,22.1288
1951-09-01,22.3613
1951-10-01,22.2063
1951-11-01,22.5938
1951-12-01,22.7488
1952-01-01,22.9426
1952-02-01,23.0976
1952-03-01,23.2139
1952-04-01,23.2139
1952-05-01,23.1751
1952-06-01,23.8340
1952-07-01,23.4077
1952-08-01,23.8727
1952-09-01,24.4928
1952-10-01,24.8803
1952-11-01,25.3842
1952-12-01,25.3841
1953-01-01,25.6167
1953-02-01,25.8104
1953-03-01,25.8492
1953-04-01,25.7717
1953-05-01,25.8879
1953-06-01,25.5004
1953-07-01,25.5392
1953-08-01,25.3842
1953-09-01,25.0354
1953-10-01,25.0354
1953-11-01,24.6478
1953-12-01,24.2603
1954-01-01,24.3765
1954-02-01,24.6478
1954-03-01,24.6866
1954-04-01,24.6866
1954-05-01,24.8416
