DATE,IR3TIB01USM156N
6/1/1964,3.86
7/1/1964,3.87
8/1/1964,3.85
9/1/1964,3.87
10/1/1964,3.94
11/1/1964,3.99
12/1/1964,4.14
1/1/1965,4.13
2/1/1965,4.19
3/1/1965,4.27
4/1/1965,4.28
5/1/1965,4.32
6/1/1965,4.31
7/1/1965,4.29
8/1/1965,4.3
9/1/1965,4.34
10/1/1965,4.46
11/1/1965,4.49
12/1/1965,4.75
1/1/1966,4.95
2/1/1966,5.05
3/1/1966,5.19
4/1/1966,5.26
5/1/1966,5.38
6/1/1966,5.5
7/1/1966,5.62
8/1/1966,5.72
9/1/1966,5.86
10/1/1966,5.83
11/1/1966,5.79
12/1/1966,5.65
1/1/1967,5.4
2/1/1967,5.18
3/1/1967,5.01
4/1/1967,4.43
5/1/1967,4.49
6/1/1967,4.66
7/1/1967,5
8/1/1967,4.93
9/1/1967,4.91
10/1/1967,5.22
11/1/1967,5.4
12/1/1967,5.62
1/1/1968,5.48
2/1/1968,5.33
3/1/1968,5.58
4/1/1968,5.78
5/1/1968,6.14
6/1/1968,6.12
7/1/1968,6.03
8/1/1968,5.85
9/1/1968,5.78
10/1/1968,5.9
11/1/1968,6.05
12/1/1968,6.27
1/1/1969,6.5
2/1/1969,6.52
3/1/1969,6.65
4/1/1969,6.84
5/1/1969,7.28
6/1/1969,8.01
7/1/1969,8.69
8/1/1969,8.38
9/1/1969,8.47
10/1/1969,8.56
11/1/1969,8.46
12/1/1969,8.77
1/1/1970,8.91
2/1/1970,8.58
3/1/1970,8.08
4/1/1970,7.51
5/1/1970,8.08
6/1/1970,8.07
7/1/1970,8.01
8/1/1970,7.72
9/1/1970,7.3
10/1/1970,6.76
11/1/1970,6.08
12/1/1970,5.67
1/1/1971,5.09
2/1/1971,4.38
3/1/1971,3.85
4/1/1971,4.45
5/1/1971,4.98
6/1/1971,5.4
7/1/1971,5.75
8/1/1971,5.74
9/1/1971,5.63
10/1/1971,5.27
11/1/1971,4.87
12/1/1971,4.65
1/1/1972,3.95
2/1/1972,3.61
3/1/1972,4.08
4/1/1972,4.6
5/1/1972,4.41
6/1/1972,4.64
7/1/1972,4.82
8/1/1972,4.85
9/1/1972,5.13
10/1/1972,5.25
11/1/1972,5.22
12/1/1972,5.43
1/1/1973,5.81
2/1/1973,6.34
3/1/1973,7.05
4/1/1973,7.31
5/1/1973,7.55
6/1/1973,8.16
7/1/1973,9.7
8/1/1973,10.77
9/1/1973,10.59
10/1/1973,9.2
11/1/1973,9.24
12/1/1973,9.27
1/1/1974,9
2/1/1974,8.08
3/1/1974,8.84
4/1/1974,10.25
5/1/1974,11.2
6/1/1974,11.38
7/1/1974,12.25
8/1/1974,12.23
9/1/1974,11.6
10/1/1974,9.78
11/1/1974,9.09
12/1/1974,9.23
1/1/1975,7.48
2/1/1975,6.41
3/1/1975,6.18
4/1/1975,6.26
5/1/1975,5.79
6/1/1975,5.82
7/1/1975,6.55
8/1/1975,6.87
9/1/1975,7.03
10/1/1975,6.56
11/1/1975,6.26
12/1/1975,6.03
1/1/1976,5.14
2/1/1976,5.18
3/1/1976,5.34
4/1/1976,5.12
5/1/1976,5.56
6/1/1976,5.84
7/1/1976,5.52
8/1/1976,5.39
9/1/1976,5.33
10/1/1976,5.12
11/1/1976,5.01
12/1/1976,4.67
1/1/1977,4.83
2/1/1977,4.83
3/1/1977,4.84
