record_date,mortgage_rate,consumer_goods_production,cpi,household_net_worth,housing_inventory,industrial_production,rates_3months,job_openings,money_supply,money_velocity,ppi,real_gdp,total_public_debt,treasury_yield_ten_year,unemployment_rate
2016-07,3.44,101.6815,240.10,88797843.00,1462355.00,98.8360,0.62,5962.00,12841.375,1.457,187.700,19197.938,19573445.00,1564.00,4.80
2016-10,3.47,101.1823,241.74,89281933.00,1407001.00,98.7322,0.72,5591.00,13071.160,1.450,186.700,19304.352,19976827.00,2139.00,4.90
2017-01,4.15,100.3095,243.62,91661922.00,1153332.00,98.7987,0.90,5617.00,13292.820,1.444,190.700,19398.343,19846420.00,2447.00,4.70
2017-04,4.05,100.3026,244.19,93437298.00,1197537.00,100.0082,1.03,6091.00,13589.025,1.437,193.000,19506.949,19844554.00,2261.00,4.40
2017-07,3.97,99.9050,244.24,95057008.00,1321957.00,100.0947,1.22,6238.00,13577.900,1.441,193.500,19660.766,20244900.00,2241.00,4.30
2017-10,3.90,100.4118,246.63,97471787.00,1286713.00,100.9981,1.26,6408.00,13744.220,1.451,194.900,19882.352,20492747.00,2371.00,4.20
2018-01,4.03,100.6861,248.86,98590126.00,1043551.00,101.3939,1.63,6621.00,13884.180,1.461,197.900,20044.077,21089643.00,2759.00,4.00
2018-04,4.47,101.9578,250.23,99796195.00,1101640.00,103.3468,2.20,6877.00,14078.760,1.465,200.300,20150.476,21195070.00,2921.00,4.00
2018-07,4.53,100.0637,251.21,101767664.00,1261433.00,103.3334,2.17,7190.00,14106.020,1.467,204.300,20276.154,21516058.00,2924.00,3.80
2018-10,4.83,100.9529,252.77,98097927.00,1304194.00,103.9397,2.37,7304.00,14199.920,1.465,204.600,20304.874,21974096.00,3041.00,3.80
2019-01,4.46,100.2597,252.72,104105864.00,1110220.00,103.3730,2.59,7517.00,14434.375,1.458,199.100,20415.150,22027880.00,2653.00,4.00
2019-04,4.14,99.4548,255.21,106066004.00,1136639.00,102.2481,2.47,7191.00,14628.160,1.460,202.100,20584.528,22023283.00,2339.00,3.60
2019-07,3.77,100.2294,255.69,106675718.00,1239298.00,102.0236,2.22,7051.00,14801.840,1.454,200.700,20817.581,22719402.00,1798.00,3.70
2019-10,3.69,99.3342,257.24,110046191.00,1208001.00,101.6022,1.88,7325.00,15108.375,1.438,198.600,20951.088,23201380.00,1792.00,3.60
2020-01,3.62,99.3883,259.04,104153690.00,951225.00,101.3768,1.65,7184.00,15409.600,1.391,199.300,20665.553,23223813.00,1365.00,3.50
2020-04,3.31,84.2234,256.09,111871044.00,941187.00,84.5979,0.00,4686.00,17047.925,1.128,185.500,19034.830,26477241.00,688.00,14.70
2020-07,3.02,99.9082,258.28,116001041.00,822207.00,95.0144,0.18,6514.00,18257.250,1.176,193.000,20511.785,26945391.00,651.00,10.20
2020-10,2.83,99.3411,260.29,124144947.00,733489.00,96.4292,0.12,6820.00,18655.475,1.163,196.500,20724.128,27747798.00,865.00,6.90
2021-01,2.74,101.9200,262.65,129081138.00,531073.00,98.7836,0.14,7175.00,19365.800,1.153,204.800,20990.541,28132570.00,1336.00,6.30
2021-04,3.06,100.2242,266.67,135535565.00,435045.00,98.2886,0.11,9288.00,20266.125,1.145,217.900,21309.544,28529436.00,1591.00,6.10
2021-07,2.87,101.7410,271.76,138652090.00,546151.00,100.1231,0.10,10882.00,20538.725,1.144,231.850,21483.083,28428919.00,1325.00,5.40
2021-10,3.07,101.1717,276.52,142280264.00,565205.00,100.3045,0.11,11368.00,21065.450,1.156,240.465,21847.602,29617215.00,1533.00,4.50
2022-01,3.45,102.5494,282.60,144445115.00,376591.00,101.0227,0.22,11487.00,21638.720,1.158,246.453,21738.871,30400960.00,1951.00,4.00
2022-04,4.98,103.8367,288.61,139044812.00,379601.00,102.7953,0.91,11755.00,21905.875,1.179,265.310,21708.160,30568582.00,2933.00,3.60
2022-07,5.41,102.6928,294.63,136243387.00,691216.00,103.1328,2.50,11380.00,21579.675,1.202,272.274,21851.134,30928912.00,3101.00,3.50
2022-10,6.90,103.2432,297.99,137638929.00,752314.00,103.4114,3.85,10471.00,21394.100,1.234,265.061,21989.981,31419689.00,3827.00,3.70
2023-01,6.27,102.1820,300.54,140582462.00,616317.00,102.5478,4.61,10563.00,21308.020,1.273,260.227,22112.329,31458438.00,3646.00,3.40
2023-04,6.34,103.6524,302.92,145954794.00,563025.00,103.1274,5.03,10320.00,20920.900,1.300,256.908,22225.350,32332274.00,3596.00,3.40
