record_date,mortgage_rate,consumer_goods_production,cpi,household_net_worth,industrial_production,rates_3months,job_openings,money_supply,money_velocity,3monthForecast,6monthForecast
2001-01,7.0325,103.0259,175.6,41994416,91.8903,5.62,5234,4981.02,2.085,7.0775,7.1275
2001-04,7.0775,102.6877,176.4,43198401,90.7293,4.53,4615,5167.06,2.059,7.1275,6.6175
2001-07,7.1275,102.202,177.4,42164052,89.226,3.66,4447,5182.8,2.014,6.6175,6.9975
2001-10,6.6175,102.4001,177.6,43746475,88.3926,2.31,3707,5316.2,1.98,6.9975,6.985
2002-01,6.9975,103.8754,177.7,44391512,88.4665,1.74,3699,5455.3,1.969,6.985,6.485
2002-04,6.985,103.973,179.3,43759840,89.5532,1.87,3471,5533.78,1.972,6.485,6.1125
2002-07,6.485,105.4834,180,42660310,90.6455,1.79,3367,5569.5,1.953,6.1125,5.916
2002-10,6.1125,104.7528,181.2,43550562,90.4041,1.73,3479,5684.4,1.927,5.916,5.8125
2003-01,5.916,105.8743,182.6,43717715,91.1355,1.29,3441,5800.7,1.915,5.8125,5.6325
2003-04,5.8125,105.4597,183.2,45531292,90.4281,1.24,3108,5940.1,1.901,5.6325,5.952
2003-07,5.6325,106.4079,183.7,46381205,90.9896,1.05,2981,6034.7,1.905,5.952,5.7125
2003-10,5.952,105.7006,184.9,48249658,91.5005,1.1,3305,6051.5,1.94,5.7125,5.83
2004-01,5.7125,106.9028,186.3,50690855,92.327,1.06,3424,6067.8,1.95,5.83,6.056
2004-04,5.83,107.1054,187.4,51354965,92.9096,1.08,3511,6239.9,1.94,6.056,5.7225
2004-07,6.056,106.399,189.1,52541696,93.5511,1.57,3814,6280.6,1.949,5.7225,5.71
2004-10,5.7225,107.8311,190.8,54708520,94.5671,2.04,3943,6351.475,1.958,5.71,5.855
2005-01,5.71,108.7219,191.6,55567501,95.8831,2.61,3804,6407.2,1.985,5.855,5.695
2005-04,5.855,108.8555,193.7,56983490,96.628,3.09,4159,6518.525,1.995,5.695,6.065
2005-07,5.695,109.9338,194.9,58543486,96.8383,3.57,4256,6528.925,2,6.065,6.145
2005-10,6.065,110.5267,199.1,59956641,96.4383,4.13,4184,6608.74,2.001,6.145,6.5075
2006-01,6.145,110.2531,199.3,61640711,98.1305,4.56,4397,6709.96,2.016,6.5075,6.7625
2006-04,6.5075,110.6324,200.7,61738378,98.6769,5.03,4790,6870.05,2.017,6.7625,6.3575
2006-07,6.7625,110.0152,202.9,62751041,98.9804,5.46,4394,6869.38,2.006,6.3575,6.2175
2006-10,6.3575,110.4218,201.9,64122749,99.1253,5.33,4591,6952.42,1.997,6.2175,6.18
2007-01,6.2175,110.5212,203.44,65105400,99.7571,5.32,4763,7104.88,1.993,6.18,6.695
2007-04,6.18,111.4751,205.9,65646002,101.5874,5.31,4689,7289.72,1.986,6.695,6.375
2007-07,6.695,110.7922,207.6,66444087,101.4925,5.32,4598,7285.12,1.977,6.375,5.758
